iter	Passed	Remaining
560	2476	1938
561	2480	1933
562	2484	1928
563	2487	1923
564	2492	1918
565	2496	1914
566	2500	1909
567	2504	1904
568	2508	1900
569	2511	1894
570	2514	1889
571	2518	1884
572	2522	1879
573	2525	1874
574	2528	1869
575	2532	1863
576	2535	1858
577	2538	1853
578	2541	1848
579	2544	1842
580	2547	1837
581	2551	1832
582	2554	1827
583	2557	1821
584	2560	1816
585	2563	1811
586	2567	1806
587	2570	1800
588	2573	1795
589	2576	1790
590	2579	1785
591	2583	1780
592	2586	1775
593	2589	1769
594	2592	1764
595	2595	1759
596	2599	1754
597	2602	1749
598	2606	1745
599	2609	1739
600	2613	1735
601	2617	1730
602	2620	1725
603	2623	1720
604	2626	1715
605	2630	1710
606	2633	1705
607	2636	1700
608	2639	1694
609	2642	1689
610	2646	1684
611	2650	1680
612	2653	1675
613	2656	1670
614	2659	1665
615	2663	1660
616	2666	1655
617	2669	1650
618	2672	1645
619	2675	1639
620	2679	1635
621	2682	1630
622	2686	1625
623	2689	1620
624	2692	1615
625	2696	1610
626	2699	1605
627	2702	1601
628	2706	1596
629	2709	1591
630	2713	1586
631	2716	1581
632	2720	1577
633	2723	1571
634	2726	1567
635	2729	1562
636	2732	1557
637	2736	1552
638	2739	1547
639	2743	1543
640	2747	1538
641	2751	1534
642	2754	1529
643	2758	1524
644	2761	1519
645	2765	1515
646	2768	1510
647	2772	1505
648	2775	1501
649	2779	1496
650	2782	1491
651	2785	1486
652	2788	1481
653	2792	1477
654	2795	1472
655	2799	1467
656	2802	1462
657	2805	1458
658	2808	1453
659	2812	1448
660	2815	1444
661	2819	1439
662	2822	1434
663	2825	1429
664	2827	1424
665	2831	1419
666	2834	1415
667	2837	1410
668	2840	1405
669	2843	1400
670	2847	1396
671	2850	1391
672	2853	1386
673	2857	1381
674	2860	1377
675	2864	1372
676	2867	1368
677	2871	1363
678	2874	1359
679	2879	1354
680	2882	1350
681	2886	1346
682	2890	1341
683	2894	1337
684	2898	1332
685	2901	1328
686	2904	1323
687	2908	1319
688	2912	1314
689	2915	1309
690	2918	1305
691	2921	1300
692	2925	1296
693	2929	1291
694	2932	1286
695	2935	1282
696	2938	1277
697	2942	1272
698	2945	1268
699	2948	1263
700	2951	1258
701	2954	1254
702	2958	1249
703	2961	1245
704	2965	1240
705	2968	1236
706	2971	1231
707	2974	1226
708	2977	1222
709	2980	1217
710	2983	1212
711	2987	1208
712	2990	1203
713	2994	1199
714	2998	1195
715	3001	1190
716	3005	1186
717	3008	1181
718	3011	1177
719	3015	1172
720	3018	1168
721	3022	1163
722	3025	1159
723	3028	1154
724	3032	1150
725	3035	1145
726	3039	1141
727	3042	1136
728	3046	1132
729	3049	1127
730	3053	1123
731	3056	1119
732	3059	1114
733	3062	1109
734	3066	1105
735	3071	1101
736	3074	1097
737	3077	1092
738	3080	1088
739	3084	1083
740	3087	1079
741	3091	1074
742	3094	1070
743	3098	1066
744	3101	1061
745	3105	1057
746	3109	1053
747	3113	1048
748	3116	1044
749	3119	1039
750	3123	1035
751	3127	1031
752	3130	1026
753	3134	1022
754	3137	1018
755	3141	1013
756	3144	1009
757	3148	1005
758	3151	1000
759	3155	996
760	3158	991
761	3161	987
762	3166	983
763	3170	979
764	3173	974
765	3176	970
766	3180	966
767	3183	961
768	3187	957
769	3191	953
770	3194	948
771	3197	944
772	3201	940
773	3203	935
774	3206	931
775	3211	926
776	3214	922
777	3218	918
778	3221	913
779	3224	909
780	3227	905
781	3231	900
782	3234	896
783	3237	892
784	3240	887
785	3245	883
786	3249	879
787	3252	875
788	3256	870
789	3260	866
790	3263	862
791	3266	857
792	3270	853
793	3274	849
794	3277	845
795	3281	840
796	3284	836
797	3288	832
798	3292	828
799	3296	824
800	3300	819
801	3304	815
802	3307	811
803	3311	807
804	3314	802
805	3318	798
806	3321	794
807	3324	789
808	3327	785
809	3331	781
810	3335	777
811	3338	772
812	3341	768
813	3345	764
814	3348	760
815	3352	756
816	3356	751
817	3360	747
818	3363	743
819	3367	739
820	3371	734
821	3374	730
822	3377	726
823	3380	722
824	3383	717
825	3387	713
826	3390	709
827	3393	704
828	3397	700
829	3401	696
830	3404	692
831	3407	688
832	3410	683
833	3414	679
834	3417	675
835	3420	671
836	3423	666
837	3427	662
838	3431	658
839	3435	654
840	3439	650
841	3442	646
842	3447	641
843	3450	637
844	3453	633
845	3456	629
846	3460	625
847	3464	620
848	3467	616
849	3470	612
850	3474	608
851	3478	604
852	3483	600
853	3486	596
854	3489	591
855	3493	587
856	3497	583
857	3500	579
858	3504	575
859	3507	571
860	3512	567
861	3516	562
862	3519	558
863	3523	554
864	3526	550
865	3530	546
866	3533	542
867	3536	537
868	3540	533
869	3543	529
870	3547	525
871	3550	521
872	3553	516
873	3556	512
874	3560	508
875	3564	504
876	3567	500
877	3570	496
878	3574	492
879	3577	487
880	3581	483
881	3584	479
882	3587	475
883	3591	471
884	3595	467
885	3599	463
886	3602	459
887	3607	454
888	3610	450
889	3614	446
890	3617	442
891	3621	438
892	3624	434
893	3627	430
894	3631	426
895	3634	421
896	3638	417
897	3641	413
898	3644	409
899	3647	405
900	3650	401
901	3654	397
902	3657	392
903	3661	388
904	3664	384
905	3668	380
906	3671	376
907	3674	372
908	3678	368
909	3681	364
910	3685	360
911	3689	355
912	3693	351
913	3696	347
914	3700	343
915	3704	339
916	3708	335
917	3711	331
918	3714	327
919	3719	323
920	3723	319
921	3726	315
922	3729	311
923	3733	307
924	3737	303
925	3741	299
926	3744	294
927	3749	290
928	3752	286
929	3755	282
930	3758	278
931	3761	274
932	3765	270
933	3769	266
934	3772	262
935	3775	258
936	3778	254
